"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.634791665E-3,-6.909631348E-1,2.525697784E0,9.494306488E0,9.848778353E0
1.465479165E-2,-6.077362061E-1,2.675536194E0,9.874815216E0,1.024889325E1
2.467479167E-2,-5.689668274E-1,2.621348877E0,9.904603271E0,1.026140142E1
3.469479166E-2,-6.069877625E-1,2.590962067E0,9.908046112E0,1.025918595E1
4.471479167E-2,-7.297325134E-1,2.562820587E0,9.807754669E0,1.016329723E1
5.473379165E-2,-7.740403748E-1,2.637066193E0,9.680818634E0,1.006337449E1
6.475379167E-2,-7.958949280E-1,2.661016388E0,9.475745087E0,9.874421598E0
7.477379165E-2,-7.444020081E-1,2.639311523E0,9.266180878E0,9.663446990E0
8.479379167E-2,-7.203021240E-1,2.581082611E0,9.128167877E0,9.513373292E0
9.481379166E-2,-6.840774536E-1,2.528541870E0,9.082961884E0,9.453130832E0
1.048330417E-1,-6.466552734E-1,2.437680817E0,9.015901337E0,9.361993790E0
1.148530417E-1,-6.261479187E-1,2.355202332E0,8.986262970E0,9.310851809E0
1.248730417E-1,-6.343807983E-1,2.373614044E0,9.014105072E0,9.342942410E0
1.348930417E-1,-6.253994751E-1,2.391427002E0,9.077722778E0,9.408246300E0
1.449130417E-1,-5.932164001E-1,2.361788635E0,9.187294922E0,9.504543084E0
1.549330417E-1,-5.325924683E-1,2.362986145E0,9.239835663E0,9.552063721E0
1.649520417E-1,-4.658312988E-1,2.381248169E0,9.307045898E0,9.618131055E0
1.749720417E-1,-4.954696655E-1,2.377805328E0,9.353299713E0,9.663522334E0
1.849920417E-1,-5.554948425E-1,2.385888519E0,9.360335083E0,9.675583260E0
1.950120417E-1,-5.953120422E-1,2.430495758E0,9.445208588E0,9.771062958E0
2.050320417E-1,-6.108796692E-1,2.481389923E0,9.545500031E0,9.881651722E0
2.150510417E-1,-6.051914978E-1,2.464325409E0,9.619745636E0,9.948802067E0
2.250710417E-1,-5.571414185E-1,2.453398132E0,9.641749878E0,9.964582764E0
2.350910417E-1,-5.287005615E-1,2.448907471E0,9.641899567E0,9.962073044E0
2.451110417E-1,-5.086422729E-1,2.403551788E0,9.653425598E0,9.961144710E0
2.551300417E-1,-4.933740234E-1,2.349813538E0,9.632020111E0,9.926774552E0
2.651500417E-1,-4.888833618E-1,2.350412292E0,9.560319214E0,9.857136925E0
2.751700417E-1,-5.152285767E-1,2.379900970E0,9.536668396E0,9.842633449E0
2.851900417E-1,-5.158273315E-1,2.355052643E0,9.596394196E0,9.894601171E0
2.952100417E-1,-5.068460083E-1,2.306403809E0,9.593999176E0,9.880344710E0
3.052290417E-1,-5.041516113E-1,2.305655365E0,9.576485596E0,9.863026507E0
3.152490417E-1,-5.144801331E-1,2.290387115E0,9.528884583E0,9.813776252E0
3.252690417E-1,-5.379812622E-1,2.276615753E0,9.496252441E0,9.780143841E0
3.352890417E-1,-5.526507568E-1,2.323917389E0,9.464069366E0,9.760872085E0
3.453080417E-1,-5.749543762E-1,2.371518402E0,9.447453918E0,9.757512880E0
3.553280417E-1,-5.593867493E-1,2.322270813E0,9.402098236E0,9.700788963E0
3.653480417E-1,-5.454656982E-1,2.251917114E0,9.473200378E0,9.752445279E0
3.753680417E-1,-5.771997070E-1,2.213447113E0,9.548643494E0,9.818813584E0
3.853880417E-1,-5.830375671E-1,2.211501160E0,9.527238007E0,9.797904583E0
3.954070417E-1,-5.538482666E-1,2.258054352E0,9.501491547E0,9.781814707E0
4.054270417E-1,-5.414241028E-1,2.273771667E0,9.498946838E0,9.782288520E0
4.154470417E-1,-5.063969421E-1,2.290237427E0,9.573791199E0,9.856931736E0
4.254670417E-1,-4.665797424E-1,2.280956726E0,9.647887115E0,9.924826751E0
4.354860416E-1,-4.453239441E-1,2.288441162E0,9.588311005E0,9.867673702E0
4.455060417E-1,-3.812571716E-1,2.242187347E0,9.505383453E0,9.773693044E0
4.555260417E-1,-3.541635132E-1,2.185305634E0,9.419312439E0,9.675972268E0
4.655460417E-1,-3.056643677E-1,2.255359955E0,9.618997192E0,9.884593376E0
4.755660417E-1,-3.260220337E-1,2.238295441E0,9.741442566E0,1.000059799E1
4.855850417E-1,-3.112028503E-1,2.224075012E0,9.601633301E0,9.860766650E0
4.956050417E-1,-3.936813354E-1,2.209405518E0,9.420659637E0,9.684280342E0
5.056250417E-1,-4.287084961E-1,2.230661316E0,9.405990143E0,9.676378013E0
5.156450417E-1,-4.703219604E-1,2.270179138E0,9.370214539E0,9.652763157E0
5.256640417E-1,-5.204676819E-1,2.242636414E0,9.304052124E0,9.584659129E0
5.356840416E-1,-5.655239868E-1,2.233355713E0,9.279503174E0,9.561217196E0
5.457040417E-1,-6.068380737E-1,2.253713379E0,9.270671539E0,9.559959583E0
5.557240417E-1,-6.403683472E-1,2.221679993E0,9.281449127E0,9.565104888E0
5.657440417E-1,-6.403683472E-1,2.198777618E0,9.328002319E0,9.605015456E0
5.757630417E-1,-6.505471802E-1,2.211650848E0,9.368867340E0,9.648330754E0
5.857830417E-1,-6.152206421E-1,2.204316101E0,9.403146057E0,9.677637195E0
5.958030417E-1,-5.686674500E-1,2.213746490E0,9.471853180E0,9.743718944E0
