"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.675083320E-3,-9.478289795E-1,4.402494965E0,8.741821289E0,9.833604687E0
1.269508334E-2,-7.385641479E-1,4.383933563E0,8.942104797E0,9.986270009E0
2.271508332E-2,-5.334906006E-1,4.274511108E0,9.077722778E0,1.004794050E1
3.273508334E-2,-5.507048035E-1,4.324058075E0,9.066645813E0,1.006006065E1
4.275508333E-2,-8.485853577E-1,4.486170959E0,8.932824097E0,1.003200744E1
5.277508334E-2,-1.078956299E0,4.667444000E0,8.753197632E0,9.978359032E0
6.279508333E-2,-1.182989960E0,4.777764587E0,8.651558990E0,9.953691409E0
7.281508332E-2,-1.223405914E0,4.769382019E0,8.564140778E0,9.878675728E0
8.283508333E-2,-1.160536652E0,4.712350616E0,8.569978638E0,9.848737356E0
9.285508332E-2,-1.052461395E0,4.687053223E0,8.639434204E0,9.885138657E0
1.028750833E-1,-9.502239990E-1,4.713248749E0,8.600365448E0,9.853117540E0
1.128960833E-1,-1.046324158E0,4.675227814E0,8.527167664E0,9.780855674E0
1.229160833E-1,-1.237027588E0,4.626129913E0,8.634045410E0,9.873097557E0
1.329360833E-1,-1.173260193E0,4.995411987E0,9.199270020E0,1.053362470E1
1.429560833E-1,-9.874964905E-1,5.776487732E0,1.041070084E1,1.194678416E1
1.529760833E-1,-1.347946930E0,5.273533630E0,9.874366150E0,1.127520398E1
1.629960833E-1,-1.070424042E0,5.343887329E0,8.955427094E0,1.048344475E1
1.730160833E-1,-5.691165161E-1,5.849685516E0,8.289761353E0,1.016183337E1
1.830360833E-1,-8.425978088E-1,5.440586243E0,7.624544678E0,9.404447420E0
1.930560833E-1,-9.795629883E-1,4.886288910E0,7.119644623E0,8.690494952E0
2.030760833E-1,-7.656578064E-1,4.305346985E0,6.629114685E0,7.941498980E0
2.130960833E-1,-2.809657288E-1,3.607947235E0,6.498586121E0,7.438269057E0
2.231160833E-1,1.496887207E-3,3.399430847E0,7.183561707E0,7.947307161E0
2.331360833E-1,8.622070312E-2,3.469784546E0,8.223299561E0,8.925776967E0
2.431560833E-1,3.058140564E-1,3.675307159E0,9.274563446E0,9.980928417E0
2.531760833E-1,1.788780212E-1,3.786376190E0,9.854008484E0,1.055794133E1
2.631960833E-1,-4.047583008E-1,3.544179840E0,9.757010193E0,1.038866151E1
2.732160833E-1,-6.987469482E-1,3.294049988E0,9.328750763E0,9.917893094E0
2.832360833E-1,-2.877017212E-1,2.979254608E0,9.125323792E0,9.603658917E0
2.932570833E-1,1.956431580E-1,2.472408600E0,9.029972076E0,9.364372709E0
3.032770833E-1,-4.044589233E-1,1.455722809E0,8.819958801E0,8.948429425E0
3.132970833E-1,-1.036893768E0,9.499246216E-1,7.946674805E0,8.070139152E0
3.233170833E-1,-5.559439087E-1,1.309027863E0,7.680677948E0,7.811238142E0
3.333370833E-1,1.666035461E-1,2.168091431E0,8.421487427E0,8.697690939E0
3.433570833E-1,3.984713745E-1,2.522554321E0,9.179511108E0,9.528141683E0
3.533770833E-1,6.475534058E-1,2.471211090E0,9.845027161E0,1.017107514E1
3.633970833E-1,4.221221924E-1,1.672771454E0,1.074869797E1,1.088626931E1
3.734170833E-1,5.017565918E-1,4.544549561E-1,1.147139511E1,1.149135304E1
3.834370833E-1,2.148033142E-1,8.213420105E-1,1.054766602E1,1.058177686E1
3.934570833E-1,3.694317627E-1,2.611918488E0,9.150770874E0,9.523403047E0
4.034770833E-1,7.806266785E-1,4.071982269E0,9.316326599E0,1.019727213E1
4.134970833E-1,-9.041198730E-2,3.882626038E0,9.915081482E0,1.064855859E1
4.235170833E-1,-6.333329773E-1,3.209924927E0,1.025427612E1,1.076359176E1
4.335370833E-1,-7.649093628E-1,3.451073456E0,1.060230240E1,1.117603733E1
4.435570833E-1,-1.399140472E0,3.819756775E0,1.034858002E1,1.111940845E1
4.535770833E-1,-1.913919983E0,4.433929596E0,9.803713074E0,1.092866009E1
4.635980833E-1,-2.020947418E0,4.308490448E0,9.329349518E0,1.047301680E1
4.736180833E-1,-1.995799713E0,3.617377625E0,9.171128540E0,1.005873929E1
4.836380833E-1,-1.378932495E0,3.054248657E0,9.045240326E0,9.646049048E0
4.936580833E-1,-7.574249268E-1,2.765798492E0,9.066945190E0,9.509617706E0
5.036780833E-1,-5.298980713E-1,2.378254395E0,9.122180328E0,9.441983895E0
5.136980833E-1,-6.333329773E-1,2.131717072E0,9.230704651E0,9.494800508E0
5.237180833E-1,-9.389973450E-1,2.179168396E0,8.686885529E0,9.005135818E0
5.337380833E-1,-1.070124664E0,2.105371857E0,8.793314209E0,9.104950974E0
5.437580833E-1,-5.119354248E-1,1.887874146E0,9.820777588E0,1.001368160E1
5.537780833E-1,-2.995271301E-1,1.860481110E0,9.177116089E0,9.368594674E0
5.637980833E-1,-4.968168640E-1,1.789079590E0,8.704249420E0,8.900089367E0
5.738180833E-1,-7.614665222E-1,1.910776520E0,8.728648682E0,8.967731373E0
5.838380833E-1,-6.872209167E-1,2.227517853E0,9.099577332E0,9.393424082E0
5.938580833E-1,-3.010240173E-1,2.738704834E0,9.353449402E0,9.750801779E0
6.038780833E-1,8.187973022E-2,2.758164368E0,9.414223022E0,9.810288991E0
6.138980833E-1,1.299298096E-1,2.809357910E0,9.139843597E0,9.562746185E0
6.239180833E-1,1.167572021E-2,3.059038696E0,8.915310516E0,9.425529994E0
6.339380833E-1,-1.544787598E-1,3.037782898E0,9.499246216E0,9.974350470E0
6.439590833E-1,-1.252894592E-1,2.772085419E0,9.918224945E0,1.029909419E1
6.539790833E-1,-1.683998108E-1,2.616409149E0,1.005159760E1,1.038790496E1
6.639990833E-1,-2.083666992E-1,2.555036774E0,9.935139771E0,1.026053760E1
6.740190833E-1,-3.866459656E-1,2.652933197E0,9.965526581E0,1.031984834E1
6.840390833E-1,-6.768923950E-1,2.761756897E0,9.887389069E0,1.028814595E1
6.940590833E-1,-7.616162109E-1,2.799029388E0,9.831854553E0,1.025085307E1
7.040790833E-1,-7.014413452E-1,2.679128723E0,9.798623657E0,1.018247398E1
7.140990833E-1,-6.075865173E-1,2.613864441E0,9.609267426E0,9.976946885E0
7.241190833E-1,-2.848576355E-1,2.517464905E0,9.375603333E0,9.711885052E0
7.341390833E-1,-5.553451538E-2,2.195634155E0,9.433233490E0,9.685545287E0
7.441590833E-1,-1.694476318E-1,2.094743958E0,9.472152557E0,9.702491372E0
7.541790833E-1,-1.196012878E-1,2.221679993E0,9.575737152E0,9.830814232E0
7.641990833E-1,-1.579216003E-1,2.234104156E0,9.638157349E0,9.894960217E0
7.742190833E-1,-3.240760803E-1,2.247426453E0,9.651779022E0,9.915280594E0
7.842390833E-1,-5.248086548E-1,2.284549255E0,9.525142365E0,9.809328544E0
7.942590833E-1,-6.559359741E-1,2.269131317E0,9.548344116E0,9.836162072E0
8.042790833E-1,-7.089257812E-1,2.173779602E0,9.525142365E0,9.795725118E0
8.143000833E-1,-6.444099426E-1,2.125130768E0,9.503587189E0,9.759590893E0
8.243200833E-1,-5.688171387E-1,2.103126526E0,9.405840454E0,9.654870728E0
8.343400833E-1,-5.520520020E-1,1.986968079E0,9.381590881E0,9.605573956E0
8.443600833E-1,-5.800437927E-1,1.889371033E0,9.481433258E0,9.685233623E0
8.543800833E-1,-7.306306458E-1,1.898502045E0,9.479337616E0,9.695152025E0
8.644000833E-1,-8.574169922E-1,1.962419128E0,9.467661896E0,9.706846785E0
8.744200833E-1,-9.226812744E-1,1.933529205E0,9.574240265E0,9.811011802E0
8.844400833E-1,-8.623567200E-1,1.902543640E0,9.707762604E0,9.929953987E0
8.944600833E-1,-8.375083923E-1,1.978585510E0,9.753417664E0,9.987260738E0
9.044800833E-1,-8.277786255E-1,2.032024384E0,9.810898132E0,1.005326130E1
9.144990833E-1,-7.497908020E-1,2.010618896E0,9.889634399E0,1.011976497E1
9.245190833E-1,-7.262896729E-1,2.027533722E0,9.889634399E0,1.012142570E1
9.345390833E-1,-6.774911499E-1,1.964365082E0,9.827513580E0,1.004478709E1
