"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.362083463E-4,-4.270619202E-1,3.454067230E0,9.182205505E0,9.819667014E0
1.085620833E-2,-2.619552612E-1,3.709136810E0,8.964857483E0,9.705410147E0
2.087620835E-2,-1.719923401E-1,3.677402802E0,9.106762390E0,9.822728438E0
3.089520833E-2,-1.974394226E-1,3.593427429E0,8.872349854E0,9.574460556E0
4.091520834E-2,-1.303788757E-1,3.553460541E0,8.873697052E0,9.559632830E0
5.093420835E-2,-6.167175293E-2,3.514242096E0,9.187893677E0,9.837229850E0
6.095420834E-2,-4.161346436E-2,3.554658051E0,9.357640686E0,1.001013310E1
7.097420833E-2,7.499404907E-2,3.821253662E0,8.970395966E0,9.750672153E0
8.099320834E-2,7.349716187E-2,3.937861176E0,8.540190582E0,9.404626928E0
9.101320835E-2,-3.981719971E-2,3.818708954E0,8.498277740E0,9.316911937E0
1.010322083E-1,-5.508544922E-2,3.799399109E0,8.574768677E0,9.378972537E0
1.110522083E-1,-1.228944397E-1,3.773802338E0,8.634045410E0,9.423557039E0
1.210722083E-1,-3.174897766E-1,3.744613037E0,8.666378174E0,9.446112280E0
1.310912083E-1,-4.926255798E-1,3.861220551E0,8.746311951E0,9.573383772E0
1.411112083E-1,-6.456074524E-1,4.019142151E0,8.882378998E0,9.770719998E0
1.511302083E-1,-8.884025574E-1,3.969595184E0,9.173673248E0,1.003509970E1
1.611502083E-1,-1.042432251E0,3.963457947E0,9.518256683E0,1.036305332E1
1.711692083E-1,-1.022373962E0,3.976929932E0,9.712103577E0,1.054448558E1
1.811892083E-1,-7.505392456E-1,3.917952576E0,9.608219604E0,1.040343912E1
1.912092083E-1,-3.474275208E-1,4.101321259E0,9.461075592E0,1.031763022E1
2.012282083E-1,-1.390608215E-1,4.945116577E0,9.694889374E0,1.088413505E1
2.112482083E-1,-4.655319214E-2,5.076543274E0,9.548194427E0,1.081394820E1
2.212672083E-1,-2.372566223E-1,4.230203247E0,9.376651154E0,1.028943619E1
2.312872083E-1,-3.082090759E-1,3.406017151E0,9.347611542E0,9.953581627E0
2.413072083E-1,-1.703457642E-1,3.049907684E0,9.122479706E0,9.620321749E0
2.513262084E-1,-3.993695068E-1,2.579885101E0,8.363108826E0,8.761101093E0
2.613462083E-1,-6.571334839E-2,2.539469147E0,7.660919037E0,8.071115306E0
2.713652083E-1,6.837780762E-1,3.001558228E0,7.880512390E0,8.460459785E0
2.813852083E-1,8.419990540E-1,3.403472443E0,8.301287384E0,9.011323949E0
2.914052084E-1,6.042933655E-1,3.677103424E0,8.208630066E0,9.014869252E0
3.014242083E-1,6.643185425E-1,3.638932800E0,8.295000458E0,9.082410674E0
3.114442083E-1,4.126918030E-1,2.967429199E0,9.887538757E0,1.033147488E1
