"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.207267500E-1,-6.048921204E-1,4.661306763E-1,9.858499146E0,9.888032043E0
6.307467500E-1,-6.511459351E-1,4.565505981E-1,9.817634125E0,9.849790317E0
6.407677500E-1,-7.075785828E-1,4.087998962E-1,9.769883423E0,9.803999536E0
6.507873750E-1,-7.429051208E-1,3.671864319E-1,9.748777313E0,9.783935455E0
6.608083750E-1,-7.746391296E-1,3.724255371E-1,9.735754395E0,9.773621652E0
6.708283750E-1,-7.668553162E-1,3.327580261E-1,9.745933228E0,9.781718124E0
6.808493750E-1,-7.694000244E-1,3.131488037E-1,9.701775055E0,9.737272605E0
6.908693750E-1,-7.767347717E-1,3.246748352E-1,9.657916260E0,9.694538521E0
7.008903750E-1,-7.553292847E-1,3.210823059E-1,9.676777039E0,9.711520480E0
7.109103750E-1,-7.140151978E-1,3.110531616E-1,9.652976532E0,9.684344464E0
7.209313750E-1,-6.950047302E-1,2.905458069E-1,9.613458710E0,9.642926776E0
7.309513750E-1,-6.283932495E-1,2.263293457E-1,9.598040771E0,9.621251982E0
7.409723750E-1,-5.771997070E-1,3.079096985E-1,9.543404388E0,9.565800291E0
7.509923750E-1,-5.400769043E-1,2.540217590E-1,9.513616333E0,9.532319017E0
7.610123750E-1,-4.869374084E-1,2.603086853E-1,9.521400146E0,9.537396364E0
7.710333750E-1,-4.173321533E-1,2.758763123E-1,9.540410614E0,9.553518124E0
7.810533750E-1,-3.303630066E-1,2.698887634E-1,9.564959564E0,9.574467668E0
7.910743750E-1,-3.180885315E-1,3.138972473E-1,9.642348633E0,9.652699050E0
8.010943750E-1,-3.356021118E-1,3.258723450E-1,9.665101318E0,9.676414887E0
8.111153750E-1,-3.320095825E-1,3.369493103E-1,9.712852020E0,9.724364224E0
8.211353750E-1,-3.198847961E-1,3.335064697E-1,9.773475952E0,9.784394975E0
8.311563750E-1,-3.335064697E-1,3.264710999E-1,9.766739960E0,9.777884198E0
8.411763750E-1,-3.653901672E-1,3.582051086E-1,9.791588287E0,9.804948856E0
8.511973750E-1,-3.770658875E-1,3.629951477E-1,9.828262024E0,9.842188708E0
8.612173750E-1,-3.802093506E-1,3.350033569E-1,9.829459534E0,9.842512948E0
8.712383750E-1,-3.823049927E-1,3.165916443E-1,9.809101868E0,9.821652958E0
8.812583750E-1,-4.028123474E-1,3.245251465E-1,9.798024902E0,9.811669906E0
8.912783750E-1,-4.297563171E-1,3.613485718E-1,9.783954163E0,9.800052160E0
