"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-9.167916724E-4,-7.966433716E-1,3.579656067E0,8.994795227E0,9.713646040E0
9.103208315E-3,-8.984317017E-1,3.749103699E0,9.135502625E0,9.915662674E0
1.912320833E-2,-8.590635681E-1,3.727847900E0,9.470505981E0,1.021397688E1
2.914320832E-2,-8.505313110E-1,3.540138245E0,9.467811584E0,1.014373888E1
3.916320833E-2,-8.529263306E-1,3.580404510E0,9.293573914E0,9.995863938E0
4.918320832E-2,-9.017248535E-1,3.783981171E0,9.299112396E0,1.007993614E1
5.920320834E-2,-1.019529877E0,4.059258728E0,9.260792084E0,1.016264201E1
6.922320832E-2,-9.883946228E-1,4.270918579E0,9.207053833E0,1.019742662E1
7.924320834E-2,-9.732760620E-1,4.250710602E0,9.048683167E0,1.004462413E1
8.926320833E-2,-1.039588165E0,4.129313049E0,8.896449738E0,9.863000950E0
9.928320831E-2,-1.079105988E0,4.045038300E0,8.754245453E0,9.703794002E0
1.093032083E-1,-1.122216339E0,3.977977753E0,8.553812256E0,9.500072664E0
1.193232083E-1,-1.062490540E0,3.963008881E0,8.470735016E0,9.412102700E0
1.293432083E-1,-9.988728333E-1,3.986360321E0,8.556207275E0,9.491970211E0
1.393632083E-1,-8.605604553E-1,4.054768066E0,8.700357513E0,9.637319608E0
1.493832083E-1,-3.326083374E-1,5.122198334E0,8.206384735E0,9.679478007E0
1.594032083E-1,-8.578660583E-1,4.679269409E0,9.056466980E0,1.022991156E1
1.694232083E-1,-1.500928802E0,4.048930206E0,9.651629333E0,1.057357895E1
1.794432083E-1,-1.691931610E0,4.133055267E0,9.744136963E0,1.071881447E1
1.894632083E-1,-1.437909851E0,4.317771149E0,9.744136963E0,1.075448453E1
1.994832083E-1,-9.563612366E-1,4.406985626E0,9.617200928E0,1.062199147E1
2.095042083E-1,-6.387217712E-1,4.490212555E0,9.690698090E0,1.069951418E1
2.195242083E-1,-5.489085388E-1,4.494104462E0,9.907896423E0,1.089333223E1
2.295442083E-1,-5.456153870E-1,4.209396515E0,1.032912048E1,1.116724877E1
2.395642083E-1,-1.197509766E-3,4.057761841E0,9.681716766E0,1.049766984E1
2.495842083E-1,2.899470520E-1,4.179907837E0,8.157436523E0,9.170576288E0
2.596042083E-1,-3.460803223E-1,3.552861786E0,7.824977875E0,8.600748642E0
2.696242083E-1,-1.595681763E-1,3.454815674E0,7.247628479E0,8.030525009E0
2.796442083E-1,1.519340515E-1,3.864364014E0,7.411387939E0,8.359728726E0
2.896642083E-1,2.710862732E-1,3.397933960E0,8.402476959E0,9.067583030E0
2.996842083E-1,-1.285826111E-1,2.633024597E0,8.784632263E0,9.171647399E0
3.097042083E-1,-5.263055420E-1,2.056872711E0,8.933722229E0,9.182544078E0
3.197242083E-1,-7.185058594E-3,2.225272522E0,9.223220215E0,9.487870180E0
3.297442083E-1,3.778143311E-1,2.522254944E0,9.256900177E0,9.601807880E0
3.397642083E-1,-5.837860107E-2,2.347418518E0,9.286987610E0,9.579244262E0
3.497842083E-1,-1.034349060E-1,2.420616302E0,9.682614899E0,9.981137878E0
3.598042083E-1,7.753875732E-2,2.880310364E0,9.797575836E0,1.021247729E1
3.698242083E-1,1.474433899E-1,3.373983765E0,9.810598755E0,1.037561342E1
3.798442083E-1,-3.173400879E-2,3.882176971E0,9.793234863E0,1.053469288E1
3.898642083E-1,-3.243754578E-1,4.018393707E0,9.257498932E0,1.009722704E1
3.998842083E-1,-2.435435486E-1,4.371210022E0,8.321195984E0,9.402610973E0
4.099042083E-1,-3.293151855E-2,4.831652527E0,7.763605499E0,9.144370999E0
4.199242083E-1,-1.416055298E-1,4.722080383E0,7.904911652E0,9.209002307E0
4.299442083E-1,-3.339555359E-1,4.223317566E0,8.625363464E0,9.609621868E0
4.399642083E-1,-2.207908630E-1,3.933071136E0,9.095984802E0,9.912352732E0
4.499842083E-1,6.765930176E-2,3.851490784E0,9.269923096E0,1.003842783E1
4.600042083E-1,3.122506714E-1,3.669020233E0,9.371262360E0,1.006875207E1
4.700242083E-1,5.200186157E-1,3.245101776E0,9.501790924E0,1.005411039E1
4.800442083E-1,7.059320068E-1,2.692600708E0,9.602381744E0,9.997708424E0
4.900642083E-1,7.397616577E-1,2.470163269E0,9.504185944E0,9.847766464E0
5.000842083E-1,8.906478882E-1,2.461780701E0,9.145382080E0,9.512708934E0
5.101042083E-1,8.165519714E-1,2.533032532E0,8.725056152E0,9.121930486E0
5.201242083E-1,6.310876465E-1,2.777324524E0,8.423732758E0,8.892191895E0
5.301442083E-1,3.438349915E-1,3.060385895E0,8.593330078E0,9.128499666E0
5.401642083E-1,4.790039062E-3,3.321892090E0,8.866062927E0,9.467949188E0
5.501842083E-1,-1.043330383E-1,3.629203033E0,9.173074493E0,9.865459731E0
5.602042083E-1,-9.280700684E-3,3.929328918E0,8.829239502E0,9.664118277E0
5.702242083E-1,-8.367599487E-2,3.824097748E0,8.593479767E0,9.406307446E0
5.802442083E-1,-1.137634277E-2,3.770060120E0,8.748407593E0,9.526180669E0
5.902642083E-1,9.939331055E-2,3.682492218E0,8.862769775E0,9.597880811E0
6.002842083E-1,3.382965088E-2,3.484004974E0,8.947343903E0,9.601791396E0
6.103042083E-1,-6.885681152E-2,3.557202759E0,9.059311066E0,9.732910650E0
6.203242083E-1,-2.195933533E-1,3.743864594E0,9.223669281E0,9.956948244E0
6.303442083E-1,-3.854484558E-1,3.830085297E0,9.242380371E0,1.001197877E1
6.403642083E-1,-5.375321960E-1,3.891607361E0,9.248966675E0,1.004872794E1
6.503842083E-1,-7.078779602E-1,3.974834290E0,9.453740845E0,1.027976725E1
6.604042083E-1,-7.689509583E-1,4.197720795E0,9.391170959E0,1.031533991E1
6.704231250E-1,-7.321275330E-1,4.271217957E0,9.062304840E0,1.004513228E1
6.804431250E-1,-6.405180359E-1,4.164639587E0,9.175768890E0,1.009699069E1
6.904631250E-1,-5.933660889E-1,3.948040009E0,9.473350067E0,1.028024634E1
7.004831250E-1,-5.207670593E-1,3.776047668E0,9.479636993E0,1.021730159E1
7.105031250E-1,-4.667294312E-1,3.696413269E0,9.605974274E0,1.030320577E1
7.205231250E-1,-4.408332825E-1,3.627257080E0,9.605674896E0,1.027717462E1
7.305431250E-1,-4.502636719E-1,3.622467041E0,9.478888550E0,1.015747670E1
7.405631250E-1,-3.842509460E-1,3.533551941E0,9.336085510E0,9.989801338E0
7.505831250E-1,-3.167413330E-1,3.500919800E0,9.233099670E0,9.879620136E0
7.606031250E-1,-2.778222656E-1,3.556903381E0,8.954828339E0,9.639382628E0
