"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.627749986E-3,-4.510121155E-1,2.124981079E0,8.878038025E0,9.139940683E0
1.264674999E-2,-2.357597351E-1,2.323318634E0,9.465566254E0,9.749376218E0
2.266674998E-2,-4.978646851E-1,2.295177155E0,9.784702606E0,1.006260963E1
3.268675000E-2,-3.556604004E-1,2.423310699E0,9.912087708E0,1.021021115E1
4.270674998E-2,-4.324507141E-1,2.702929230E0,9.727222137E0,1.010503293E1
5.272574999E-2,-6.429130554E-1,2.846331024E0,9.185798035E0,9.638144169E0
6.274574998E-2,-5.981561279E-1,2.905607758E0,9.041647797E0,9.515867910E0
7.276575000E-2,-6.337820435E-1,2.965034180E0,9.066795502E0,9.560328866E0
8.278574998E-2,-6.882687378E-1,2.934797058E0,9.169332275E0,9.652119042E0
9.280575000E-2,-6.526428223E-1,2.908302155E0,9.100475464E0,9.576158820E0
1.028247500E-1,-5.269042969E-1,2.903512115E0,9.201964417E0,9.663547996E0
1.128447500E-1,-6.369255066E-1,2.838547211E0,9.217831421E0,9.665994024E0
1.228647500E-1,-7.475454712E-1,2.972368927E0,9.330097961E0,9.820617559E0
1.328847500E-1,-6.159690857E-1,2.966381378E0,9.644294586E0,1.010896901E1
1.429037500E-1,-4.432283020E-1,2.774480438E0,9.709708557E0,1.010804795E1
1.529237500E-1,-3.441343689E-1,2.699037323E0,9.541009369E0,9.921395603E0
1.629437500E-1,-2.656974792E-1,2.689157867E0,9.536967773E0,9.912412395E0
1.729637500E-1,-3.236270142E-1,2.482138367E0,9.573641510E0,9.895471544E0
1.829837500E-1,-2.465373230E-1,2.425705719E0,9.422156525E0,9.732515731E0
1.930027500E-1,-2.457888794E-1,2.448757782E0,9.547895050E0,9.859976001E0
2.030227500E-1,-2.273771667E-1,2.467917938E0,9.708511047E0,1.001985559E1
2.130427500E-1,-2.023791504E-1,2.444566498E0,9.703571320E0,1.000880408E1
2.230627500E-1,-2.493814087E-1,2.432890778E0,9.605076141E0,9.911540562E0
2.330827500E-1,-2.751278687E-1,2.462828522E0,9.544901276E0,9.861356906E0
2.431017500E-1,-3.179388428E-1,2.463277588E0,9.573342133E0,9.890283169E0
2.531217500E-1,-4.174818420E-1,2.449655914E0,9.559121704E0,9.876837193E0
2.631417500E-1,-4.546046448E-1,2.518961792E0,9.396110687E0,9.738517851E0
2.731617500E-1,-4.665797424E-1,2.600691833E0,9.319170685E0,9.686497660E0
2.831807500E-1,-4.748126221E-1,2.562072144E0,9.286089478E0,9.644745641E0
2.932007500E-1,-5.180726624E-1,2.459685059E0,9.233099670E0,9.569147266E0
3.032207500E-1,-6.048921204E-1,2.405647430E0,9.136849823E0,9.467579349E0
3.132407500E-1,-5.312452698E-1,2.290985870E0,9.097481689E0,9.396542496E0
3.232607500E-1,-4.400848389E-1,2.273621979E0,9.164093170E0,9.452176215E0
3.332797500E-1,-3.074606323E-1,2.213596802E0,9.201066284E0,9.468588258E0
