"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-9.252916498E-4,-6.300398254E-1,3.688180389E0,8.635242920E0,9.411006591E0
9.093708330E-3,-7.301815796E-1,3.510050812E0,8.893605652E0,9.589048093E0
1.911370835E-2,-2.918930054E-1,3.608096924E0,9.445807343E0,1.011567305E1
2.913370833E-2,-1.922003174E-1,4.500391388E0,9.491761780E0,1.050637927E1
3.915370835E-2,-8.598120117E-1,4.695884857E0,8.943152618E0,1.013758305E1
4.917370834E-2,-1.071322174E0,4.488266602E0,8.815917206E0,9.950510764E0
5.919370835E-2,-7.821235657E-1,4.335883484E0,8.824748840E0,9.863457556E0
6.921270833E-2,-6.116281128E-1,4.296665039E0,8.625064087E0,9.655420753E0
7.923270835E-2,-6.420149231E-1,4.290976868E0,8.536298676E0,9.575649363E0
8.925270833E-2,-6.339317322E-1,4.203558655E0,8.571924591E0,9.568158966E0
9.927270835E-2,-5.960604858E-1,4.147874451E0,8.575666809E0,9.544747864E0
1.092927083E-1,-5.855822754E-1,4.098177795E0,8.466394043E0,9.424319388E0
1.193127084E-1,-6.074368286E-1,4.035607910E0,8.418343964E0,9.355406234E0
1.293317083E-1,-6.346801758E-1,4.054917755E0,8.612789612E0,9.540719146E0
1.393517083E-1,-7.047344971E-1,4.104015656E0,8.632398834E0,9.584252962E0
1.493717083E-1,-8.205935669E-1,4.120032349E0,8.627758484E0,9.596158440E0
1.593917084E-1,-9.226812744E-1,4.121529236E0,8.731792145E0,9.699615355E0
1.694117083E-1,-9.351054382E-1,4.109105072E0,8.878038025E0,9.827447575E0
1.794307083E-1,-9.225315857E-1,4.068539429E0,8.919950867E0,9.847314409E0
1.894507083E-1,-8.765771484E-1,4.399201813E0,9.009464722E0,1.006438367E1
1.994707084E-1,-1.102607117E0,4.263434143E0,9.151968384E0,1.015633489E1
2.094907083E-1,-1.184187469E0,3.968547363E0,9.110953674E0,1.000805401E1
2.195107084E-1,-1.073417816E0,3.916605377E0,9.204509125E0,1.006056717E1
2.295307083E-1,-8.951385498E-1,3.717669067E0,9.226213989E0,9.987259929E0
2.395497083E-1,-7.297325134E-1,3.534001007E0,9.185648346E0,9.869032789E0
2.495697083E-1,-5.616320801E-1,3.548969879E0,9.109456787E0,9.792487976E0
2.595897084E-1,-3.980223083E-1,3.449277191E0,9.107959900E0,9.747351868E0
2.696097083E-1,-2.812651062E-1,3.233276367E0,9.002429352E0,9.569583082E0
2.796297084E-1,-2.195933533E-1,2.993624725E0,8.802594910E0,9.300305768E0
2.896487083E-1,-1.438508606E-1,2.632725220E0,8.805738373E0,9.192005409E0
2.996687084E-1,-3.936813354E-2,2.337988129E0,8.973838806E0,9.273484850E0
3.096887083E-1,-5.313949585E-2,2.108515320E0,9.091344452E0,9.332802612E0
3.197087084E-1,-3.622467041E-2,2.066901855E0,9.181756439E0,9.411591088E0
3.297287083E-1,7.259902954E-2,2.153272247E0,9.338031464E0,9.583354507E0
3.397487083E-1,1.422042847E-1,2.374512177E0,9.594597931E0,9.885081668E0
3.497677083E-1,9.490264893E-2,3.227887573E0,9.765542450E0,1.028562512E1
3.597877084E-1,-3.252735901E-1,2.872825928E0,9.728719025E0,1.014923177E1
3.698077083E-1,-3.781137085E-1,2.433040466E0,9.748178558E0,1.005433444E1
3.798277083E-1,-2.507286072E-1,2.693199463E0,9.693093109E0,1.006341106E1
3.898477083E-1,-1.932481384E-1,2.759361877E0,9.517508240E0,9.911326143E0
3.998677083E-1,-1.610650635E-1,2.781665497E0,8.827293549E0,9.256603928E0
4.098867083E-1,-6.047424316E-2,2.900668030E0,9.079968109E0,9.532227075E0
4.199067084E-1,-2.874023438E-2,2.943329315E0,9.284442902E0,9.739861059E0
4.299267083E-1,-9.714797974E-2,2.811453552E0,8.972042542E0,9.402725997E0
4.399467083E-1,-1.646575928E-2,2.843636627E0,8.928034058E0,9.369969718E0
4.499667083E-1,2.020797729E-2,2.630180511E0,9.197024689E0,9.565747279E0
4.599857084E-1,1.077758789E-2,2.606230316E0,9.397757263E0,9.752455803E0
4.700057083E-1,-5.867797852E-2,2.672991486E0,9.466015320E0,9.836349558E0
4.800257083E-1,-1.844165039E-1,2.767145691E0,9.501341858E0,9.897807930E0
4.900457083E-1,-1.781295776E-1,2.735261993E0,9.505832520E0,9.893141069E0
5.000657083E-1,-1.919009399E-1,2.598446503E0,9.718240814E0,1.006145888E1
5.100857083E-1,-1.600172424E-1,2.590363312E0,9.766290894E0,1.010524742E1
5.201047084E-1,-1.609153748E-1,2.604733429E0,9.792785797E0,1.013455394E1
5.301247083E-1,-2.032772827E-1,2.608475647E0,9.957892456E0,1.029587728E1
5.401447083E-1,-2.495310974E-1,2.793939972E0,9.913584595E0,1.030279214E1
5.501647083E-1,-3.362008667E-1,3.016976166E0,9.736802216E0,1.019904376E1
5.601847083E-1,-3.969744873E-1,3.125350800E0,9.591005402E0,1.009518653E1
5.702037083E-1,-5.261558533E-1,3.150947571E0,9.673483887E0,1.018732551E1
5.802237083E-1,-5.418731689E-1,3.099604340E0,9.752369843E0,1.024743339E1
5.902437083E-1,-4.914280701E-1,3.075205078E0,9.719438324E0,1.020616819E1
6.002637083E-1,-4.589456177E-1,3.182082825E0,9.474846954E0,1.000544887E1
6.102837083E-1,-4.778063965E-1,3.072211304E0,9.376800842E0,9.878824590E0
6.203037083E-1,-3.718267822E-1,2.845582581E0,9.427844696E0,9.854940436E0
6.303227083E-1,-2.362088013E-1,2.710114288E0,9.478589172E0,9.861245700E0
6.403427083E-1,-1.422042847E-1,2.623444519E0,9.437424774E0,9.796308977E0
6.503627083E-1,-1.073268127E-1,2.691253510E0,9.540111237E0,9.913026122E0
6.603827083E-1,-9.819580078E-2,2.915936279E0,9.555828552E0,9.991305526E0
6.704027083E-1,-2.806663513E-1,2.922971649E0,9.146130524E0,9.605948179E0
6.804227083E-1,-4.019142151E-1,2.943029938E0,9.148974609E0,9.619079824E0
6.904417083E-1,-5.384303284E-1,2.881208496E0,9.211245117E0,9.666349167E0
7.004617083E-1,-3.405418396E-1,2.561174011E0,8.755293274E0,9.128567323E0
7.104817083E-1,-5.334906006E-1,2.305805054E0,8.937614136E0,9.245663611E0
7.205017083E-1,-5.415737915E-1,2.451601868E0,9.037755890E0,9.380015214E0
7.305217083E-1,-4.077520752E-1,2.722688141E0,9.636810150E0,1.002234515E1
7.405407083E-1,-4.305047607E-1,2.742447052E0,9.702972565E0,1.009227560E1
7.505607083E-1,-5.346881104E-1,2.805166626E0,9.488468628E0,9.908879254E0
7.605807083E-1,-6.515950012E-1,2.826123047E0,9.443412323E0,9.878744041E0
7.706007083E-1,-6.556365967E-1,2.868185577E0,9.319919128E0,9.773292199E0
7.806207083E-1,-5.460644531E-1,2.827619934E0,9.308542786E0,9.743848812E0
7.906397083E-1,-5.270539856E-1,2.843037872E0,9.464518433E0,9.896350813E0
8.006587084E-1,-5.541476440E-1,2.877166901E0,9.516610107E0,9.957461369E0
8.106787083E-1,-5.077441406E-1,2.932551727E0,9.550439758E0,1.000342758E1
8.206987084E-1,-4.200265503E-1,2.981949005E0,9.614356842E0,1.007493423E1
8.307187083E-1,-3.646417236E-1,2.943778381E0,9.474248199E0,9.927747665E0
8.407387083E-1,-2.652484131E-1,2.957699432E0,9.423952789E0,9.880750418E0
8.507577083E-1,-1.817221069E-1,2.986888733E0,9.378597107E0,9.844420294E0
8.607777084E-1,-1.957928467E-1,2.939736786E0,9.340725861E0,9.794363012E0
8.707977083E-1,-2.881507874E-1,2.775378571E0,9.366921387E0,9.773687807E0
8.808177083E-1,-3.082090759E-1,2.669848022E0,9.550739136E0,9.921678252E0
8.908377083E-1,-2.962339783E-1,2.647993469E0,9.564360809E0,9.928576014E0
9.008577083E-1,-3.375480652E-1,2.660567322E0,9.606273651E0,9.973617730E0
9.108767083E-1,-4.095483398E-1,2.661615143E0,9.620643768E0,9.990430998E0
9.208967084E-1,-4.508624268E-1,2.665357361E0,9.571845245E0,9.946236886E0
9.309167083E-1,-4.484674072E-1,2.718347168E0,9.514963531E0,9.905809676E0
9.409367083E-1,-4.769082642E-1,2.586920471E0,9.455986176E0,9.815053416E0
9.509567083E-1,-3.040177917E-1,2.905308380E0,9.398206329E0,9.841723721E0
9.609757084E-1,-4.772076416E-1,2.893333282E0,9.339977417E0,9.789498596E0
9.709957083E-1,-4.634362793E-1,2.927612000E0,9.341773682E0,9.800735724E0
9.810157083E-1,-4.665797424E-1,2.972967682E0,9.293424225E0,9.768519198E0
9.910357083E-1,-4.599934387E-1,2.919229431E0,9.344019012E0,9.800213556E0
1.001055708E0,-4.025129700E-1,2.881956940E0,9.361532593E0,9.803366002E0
1.011075708E0,-3.390449524E-1,2.817890167E0,9.250613251E0,9.676223540E0
1.021094708E0,-2.930905151E-1,2.801574097E0,9.232800293E0,9.652943630E0
1.031114708E0,-3.258723450E-1,2.776276703E0,9.319919128E0,9.730097516E0
1.041134708E0,-2.995271301E-1,2.685864716E0,9.444909210E0,9.823945020E0
1.051154708E0,-2.406994629E-1,2.720891876E0,9.419312439E0,9.807376594E0
1.061174708E0,-2.227368164E-1,2.756068726E0,9.343420258E0,9.743973964E0
1.071193708E0,-2.299218750E-1,2.839295654E0,9.317075043E0,9.742810233E0
1.081213708E0,-2.656974792E-1,2.884801025E0,9.309889984E0,9.750216594E0
1.091233708E0,-3.032693481E-1,2.880310364E0,9.361083527E0,9.798879777E0
1.101253708E0,-3.106040955E-1,2.902763672E0,9.409133606E0,9.851614439E0
1.111273708E0,-3.014730835E-1,2.936593323E0,9.396410065E0,9.849212581E0
1.121293708E0,-2.992277527E-1,2.891237640E0,9.364376678E0,9.805118200E0
1.131312708E0,-3.038681030E-1,2.849025421E0,9.356293488E0,9.785167832E0
1.141332708E0,-3.436853027E-1,2.880010986E0,9.373657379E0,9.812137154E0
1.151352708E0,-3.715274048E-1,2.920426941E0,9.418414307E0,9.867798852E0
1.161372708E0,-3.369493103E-1,2.966231689E0,9.436227264E0,9.897194060E0
1.171392708E0,-2.854563904E-1,2.985092468E0,9.404942322E0,9.871433658E0
1.181411708E0,-2.650987244E-1,2.943179626E0,9.384584656E0,9.838852210E0
1.191431708E0,-2.917433167E-1,2.917283478E0,9.415270844E0,9.861185634E0
1.201451708E0,-2.877017212E-1,2.885399780E0,9.405241699E0,9.842097114E0
1.211471708E0,-2.992277527E-1,2.882705383E0,9.416019287E0,9.851951420E0
1.221491708E0,-3.076103210E-1,2.857557678E0,9.404642944E0,9.834000656E0
1.231511708E0,-2.755769348E-1,2.791245575E0,9.409732361E0,9.818862338E0
1.241530708E0,-2.556683350E-1,2.805016937E0,9.369615784E0,9.783822681E0
1.251550708E0,-3.192860413E-1,2.830164642E0,9.384584656E0,9.807252655E0
1.261570708E0,-3.634442139E-1,2.839295654E0,9.421108704E0,9.846368910E0
