"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.048999984E-3,-4.447251892E-1,1.942211151E0,9.596543884E0,9.801204986E0
1.106900000E-2,-4.372407532E-1,2.039508820E0,9.676926727E0,9.899176056E0
2.108899999E-2,-4.785548401E-1,2.087109833E0,9.733658752E0,9.966401301E0
3.110900000E-2,-5.239105225E-1,2.070494385E0,9.706565094E0,9.938754205E0
4.112899999E-2,-5.848338318E-1,2.088756409E0,9.683063965E0,9.923036919E0
5.114999998E-2,-6.876699829E-1,2.088906097E0,9.702673187E0,9.948783125E0
6.117000000E-2,-6.405180359E-1,2.069296875E0,9.625433807E0,9.866165866E0
7.118999999E-2,-6.574328613E-1,2.003433838E0,9.477391663E0,9.709115193E0
8.121000000E-2,-8.096662903E-1,1.975591736E0,9.448352051E0,9.686582405E0
9.122999999E-2,-9.852511597E-1,2.005679169E0,9.505982208E0,9.765099412E0
1.012500000E-1,-1.005159760E0,1.999092865E0,9.536069641E0,9.795067260E0
1.112700000E-1,-9.565109253E-1,1.999092865E0,9.553882599E0,9.807545980E0
1.212900000E-1,-9.497749329E-1,2.047292633E0,9.541458435E0,9.804739090E0
1.313100000E-1,-9.351054382E-1,2.017055511E0,9.523196411E0,9.779274257E0
1.413310000E-1,-9.175918579E-1,1.990410919E0,9.536219330E0,9.784844892E0
1.513510000E-1,-9.189390564E-1,2.002236328E0,9.527537384E0,9.778924681E0
1.613710000E-1,-8.643026733E-1,2.018253021E0,9.589209137E0,9.837341930E0
1.713910000E-1,-7.512876892E-1,2.040107574E0,9.629176025E0,9.871550184E0
1.814110000E-1,-7.159611511E-1,2.011816406E0,9.588909760E0,9.823807612E0
1.914310000E-1,-7.418572998E-1,1.983525238E0,9.598639526E0,9.829476353E0
2.014510000E-1,-7.421566772E-1,1.976489868E0,9.624685364E0,9.853521050E0
2.114710000E-1,-6.074368286E-1,1.934577026E0,9.725725250E0,9.934852763E0
2.214920000E-1,-5.023553467E-1,1.944755859E0,9.775421906E0,9.979644767E0
2.315120000E-1,-5.086422729E-1,1.876797180E0,9.737850037E0,9.930096070E0
2.415320000E-1,-5.700146484E-1,1.820364532E0,9.759704590E0,9.944369131E0
2.515520000E-1,-5.879772949E-1,1.833836517E0,9.756710815E0,9.944952469E0
2.615720000E-1,-6.032455444E-1,1.797462158E0,9.724976807E0,9.908074954E0
2.715920000E-1,-6.018983459E-1,1.739981689E0,9.675878906E0,9.849489860E0
2.816120000E-1,-6.200106812E-1,1.751956787E0,9.615554352E0,9.793500463E0
2.916320000E-1,-6.749464417E-1,1.762285309E0,9.578581238E0,9.762705605E0
3.016520000E-1,-6.605763245E-1,1.744172974E0,9.583071899E0,9.762877008E0
3.116720000E-1,-5.427713013E-1,1.738933868E0,9.554032288E0,9.726151584E0
3.216930000E-1,-5.469625854E-1,1.761686554E0,9.462273102E0,9.640400398E0
3.317130000E-1,-5.897735596E-1,1.735341339E0,9.432185669E0,9.608609104E0
3.417330000E-1,-6.110293579E-1,1.696871338E0,9.509125671E0,9.678646612E0
3.517530000E-1,-5.939648438E-1,1.716779938E0,9.511371002E0,9.683300364E0
3.617730000E-1,-5.983058167E-1,1.686542816E0,9.462871857E0,9.630593974E0
3.717930000E-1,-6.011499023E-1,1.744322662E0,9.462572479E0,9.640763491E0
3.818130000E-1,-5.836363220E-1,1.787882080E0,9.476194153E0,9.661025272E0
3.918330000E-1,-5.644761658E-1,1.803000641E0,9.499545593E0,9.685598130E0
4.018540000E-1,-5.882766724E-1,1.836231537E0,9.475894775E0,9.670077430E0
4.118740000E-1,-6.159690857E-1,1.885928192E0,9.465117188E0,9.670811054E0
4.218940000E-1,-6.322851562E-1,1.894161072E0,9.490863647E0,9.698666066E0
4.319140000E-1,-6.607260132E-1,1.899699554E0,9.519753571E0,9.729908803E0
4.419340000E-1,-6.520440674E-1,1.923350372E0,9.518106995E0,9.732358341E0
4.519540000E-1,-6.577322388E-1,1.944755859E0,9.556427307E0,9.774455991E0
4.619740000E-1,-6.885681152E-1,1.955832825E0,9.624086609E0,9.844920068E0
4.719940000E-1,-6.990463257E-1,2.006427612E0,9.704768829E0,9.934634143E0
4.820140000E-1,-6.858737183E-1,2.024090881E0,9.782457275E0,1.001318316E1
4.920350000E-1,-6.795867920E-1,2.021546173E0,9.854307861E0,1.008245360E1
5.020550000E-1,-6.935078430E-1,2.019151154E0,9.918224945E0,1.014539849E1
5.120750000E-1,-6.968009949E-1,1.990560608E0,9.898615723E0,1.012079327E1
5.220950000E-1,-6.900650024E-1,1.989063721E0,9.907746735E0,1.012896883E1
5.321150000E-1,-6.700067139E-1,1.974693604E0,9.847122803E0,1.006549310E1
5.421350000E-1,-6.316864014E-1,1.939666443E0,9.779164124E0,9.989663887E0
5.521550000E-1,-5.584886169E-1,1.939516754E0,9.720935211E0,9.928253429E0
5.621750000E-1,-5.352868652E-1,1.911524963E0,9.676477661E0,9.877989656E0
5.721950000E-1,-5.417234802E-1,1.916165314E0,9.616302795E0,9.820307189E0
5.822160000E-1,-5.239105225E-1,1.937271423E0,9.571396179E0,9.779525941E0
5.922360000E-1,-4.989125061E-1,1.939666443E0,9.558822327E0,9.766386429E0
6.022560000E-1,-5.312452698E-1,1.909129944E0,9.482181702E0,9.687041267E0
6.122760000E-1,-5.665718079E-1,1.932930450E0,9.516610107E0,9.727440140E0
6.222960000E-1,-6.174659729E-1,1.910477142E0,9.526339874E0,9.735622144E0
