"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.570831566E-5,-8.036787415E-1,1.222956848E0,9.601333923E0,9.712215817E0
9.994291671E-3,-4.191284180E-1,1.336869965E0,1.019470001E1,1.029051983E1
2.001429169E-2,-3.080593872E-1,1.407822418E0,1.034079620E1,1.044073420E1
3.003429167E-2,-5.310955811E-1,1.531465302E0,1.037103333E1,1.049694149E1
4.005429169E-2,-7.336244202E-1,1.675765228E0,1.000818787E1,1.017399716E1
5.007429168E-2,-9.186396790E-1,1.738335114E0,9.578431549E0,9.778141887E0
6.009429166E-2,-1.020128632E0,1.686393127E0,9.458530884E0,9.661697091E0
7.011429168E-2,-1.063089294E0,1.654808807E0,9.482032013E0,9.683877433E0
8.013429167E-2,-1.019230499E0,1.700014801E0,9.347910919E0,9.555747992E0
9.015429168E-2,-9.431886292E-1,1.672921143E0,9.278605042E0,9.475272105E0
1.001742917E-1,-1.044827271E0,1.624721375E0,9.250762939E0,9.450290923E0
1.101942917E-1,-1.108145599E0,1.658251648E0,9.333091736E0,9.543814046E0
1.202142917E-1,-9.794132996E-1,1.645079041E0,9.308393097E0,9.503247735E0
1.302342917E-1,-9.488768005E-1,1.563498688E0,9.379944305E0,9.556581528E0
1.402542917E-1,-1.055604858E0,1.584006042E0,9.359586639E0,9.551190440E0
1.502742917E-1,-1.195713501E0,1.690734100E0,9.224717102E0,9.454296282E0
1.602942917E-1,-1.362616425E0,1.780547333E0,9.218579865E0,9.487322438E0
1.703142917E-1,-1.423240356E0,1.827549591E0,9.373358002E0,9.655329660E0
1.803342917E-1,-1.253343658E0,1.736538849E0,9.475296021E0,9.714302454E0
1.903552917E-1,-1.017733612E0,1.579665070E0,9.575886841E0,9.758521006E0
2.003742917E-1,-9.391470337E-1,1.428329773E0,9.668394470E0,9.818348880E0
2.103952917E-1,-1.015637970E0,1.581910400E0,9.880653076E0,1.005789571E1
2.204142917E-1,-8.584648132E-1,2.348765717E0,9.938283234E0,1.024807962E1
2.304342917E-1,-1.025517426E0,2.401905212E0,9.946815491E0,1.028396680E1
2.404552917E-1,-1.230890350E0,2.041454773E0,1.009336075E1,1.037104430E1
2.504752917E-1,-1.317859497E0,1.895957336E0,9.980345764E0,1.024395966E1
2.604952917E-1,-1.150058441E0,2.192041626E0,9.529034271E0,9.845312339E0
2.705152917E-1,-8.373587036E-1,2.550246735E0,8.790320435E0,9.191009811E0
2.805352917E-1,-7.285350037E-1,2.553839264E0,8.288563843E0,8.703628485E0
2.905552917E-1,-7.891589355E-1,2.189646606E0,8.310717773E0,8.630489789E0
3.005752917E-1,-9.015751648E-1,1.701212311E0,8.536747742E0,8.751172671E0
3.105952917E-1,-8.979826355E-1,1.220561829E0,8.959917755E0,9.087148627E0
3.206152917E-1,-6.527925110E-1,8.460406494E-1,9.485325165E0,9.545329556E0
3.306352917E-1,-4.306544495E-1,5.578898621E-1,9.739795990E0,9.765261404E0
3.406552917E-1,-1.755848694E-1,-3.701802063E-1,9.891580353E0,9.900061884E0
3.506752917E-1,1.175056458E-1,-1.465003510E0,9.729317780E0,9.839698538E0
3.606952917E-1,2.396516418E-1,-1.866768036E0,9.571545868E0,9.754831937E0
3.707152917E-1,6.988966370E-1,-1.745370483E0,9.402397614E0,9.588527286E0
3.807352917E-1,1.326092377E0,-8.964857483E-1,9.249116364E0,9.386605414E0
3.907552917E-1,1.586251373E0,-1.025367737E-1,9.251361694E0,9.386927101E0
4.007752917E-1,1.329684906E0,6.643185425E-1,9.101223907E0,9.221803386E0
4.107952917E-1,7.909552002E-1,1.679657135E0,8.877289581E0,9.069351053E0
4.208152917E-1,-6.421646118E-2,2.632874908E0,9.357640686E0,9.721192995E0
4.308352917E-1,-8.104147339E-1,4.300856323E0,1.035366943E1,1.124066759E1
4.408552917E-1,-6.535409546E-1,4.490511932E0,1.085632416E1,1.176654526E1
4.508752917E-1,-2.841091919E-1,3.550017700E0,1.074615326E1,1.132091664E1
4.608952917E-1,3.682342529E-2,2.891686707E0,1.074824890E1,1.113050145E1
4.709152917E-1,-1.185534668E-1,2.718796234E0,1.021176453E1,1.056816174E1
4.809352917E-1,-6.396199036E-1,2.531984711E0,1.026355682E1,1.059059294E1
4.909552917E-1,-1.851050720E0,2.055824890E0,1.051204010E1,1.086994903E1
5.009752917E-1,-2.087708588E0,1.941313019E0,9.823771362E0,1.022906189E1
5.109952917E-1,-1.307231598E0,2.239942017E0,9.946965179E0,1.027950928E1
5.210152917E-1,-1.002764740E0,1.923649750E0,1.004785538E1,1.027936589E1
5.310352917E-1,-7.053332520E-1,1.553319855E0,9.867031403E0,1.001342131E1
5.410552917E-1,-4.093986511E-1,1.479822693E0,9.673184509E0,9.794283078E0
5.510752917E-1,-3.170407104E-1,1.350641327E0,9.552236023E0,9.652458746E0
5.610952917E-1,-2.257305908E-1,1.183888092E0,9.576485596E0,9.652026817E0
5.711152917E-1,-2.029779053E-1,1.186732178E0,9.600585480E0,9.675782906E0
