"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.153499994E-3,-7.309300232E-1,2.509830780E0,9.348359985E0,9.706973970E0
8.866499993E-3,-7.701484680E-1,2.574645996E0,9.286987610E0,9.667992011E0
1.888550000E-2,-7.601193237E-1,2.616109772E0,9.297166443E0,9.688091432E0
2.890549999E-2,-8.005352783E-1,2.617157593E0,9.330247650E0,9.723368337E0
3.892450000E-2,-9.075627136E-1,2.681523743E0,9.438472595E0,9.853882717E0
4.894450001E-2,-9.360035706E-1,2.718197479E0,9.519154816E0,9.943792467E0
5.896349999E-2,-9.210346985E-1,2.655477905E0,9.585766296E0,9.989333477E0
6.898350001E-2,-8.668473816E-1,2.612068176E0,9.512568512E0,9.902690757E0
7.900249999E-2,-7.696994019E-1,2.553240509E0,9.435478821E0,9.805087192E0
8.902250000E-2,-6.469546509E-1,2.536774750E0,9.381890259E0,9.740310122E0
9.904249999E-2,-4.959187317E-1,2.578986969E0,9.318122864E0,9.681142643E0
1.090615000E-1,-2.920426941E-1,2.565065918E0,9.307195587E0,9.658609724E0
1.190815000E-1,-1.362167358E-1,2.584974518E0,9.316326599E0,9.669260032E0
1.291005000E-1,-4.730163574E-2,2.619402924E0,9.342971191E0,9.703330346E0
1.391205000E-1,1.496887207E-4,2.662064209E0,9.373058624E0,9.743757686E0
1.491395000E-1,7.185058594E-3,2.730771332E0,9.441166992E0,9.828163504E0
1.591595000E-1,1.287322998E-2,2.760260010E0,9.457483063E0,9.852065110E0
1.691825417E-1,4.340972900E-2,2.725382538E0,9.372459869E0,9.760768330E0
1.792025417E-1,2.933898926E-2,2.690654755E0,9.375303955E0,9.753809924E0
1.892215417E-1,-1.216969299E-1,2.720442810E0,9.472601624E0,9.856256934E0
1.992415417E-1,-2.215393066E-1,2.725981293E0,9.451345825E0,9.839105223E0
2.092605417E-1,-2.903961182E-1,2.719993744E0,9.455836487E0,9.843553197E0
2.192805417E-1,-3.725752258E-1,2.701132965E0,9.519154816E0,9.901981620E0
2.292995417E-1,-4.105961609E-1,2.742896118E0,9.579928436E0,9.973319265E0
2.393195417E-1,-4.176315308E-1,2.776276703E0,9.558073883E0,9.961872554E0
2.493395417E-1,-3.912863159E-1,2.735261993E0,9.486223297E0,9.880445111E0
2.593585417E-1,-3.611988831E-1,2.673590240E0,9.420959015E0,9.799643778E0
2.693785417E-1,-3.230282593E-1,2.757415924E0,9.387279053E0,9.789213342E0
2.793975417E-1,-3.637435913E-1,3.016976166E0,9.386829987E0,9.866459942E0
2.894175417E-1,-4.212240601E-1,3.457061005E0,9.360484772E0,9.987360796E0
2.994365417E-1,-6.779402161E-1,3.220702515E0,9.443112946E0,1.000024548E1
3.094565417E-1,-8.966354370E-1,2.419269104E0,9.471853180E0,9.816965965E0
3.194755417E-1,-7.228468323E-1,2.102378082E0,9.479038239E0,9.736255290E0
3.294955417E-1,-4.903802490E-1,2.086511078E0,9.292675781E0,9.536656880E0
3.395145417E-1,-3.041674805E-1,2.258802795E0,8.963510284E0,9.248741782E0
3.495345417E-1,-2.532733154E-1,2.298170929E0,8.844657440E0,9.141865358E0
3.595535417E-1,-2.595602417E-1,2.029329987E0,9.116043091E0,9.342793659E0
3.695735417E-1,-2.519261169E-1,1.869312744E0,9.345665588E0,9.534110456E0
3.795935417E-1,-3.191363525E-1,1.710642700E0,9.609866180E0,9.766149419E0
3.896125417E-1,-5.384303284E-1,1.839225311E0,1.010503647E1,1.028515527E1
