"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.434180833E-1,-8.095166016E-1,1.871707764E0,9.921967163E0,1.012936521E1
7.534370833E-1,-8.119116211E-1,1.875449982E0,9.777816925E0,9.989104912E0
7.634570833E-1,-8.051756287E-1,1.930086365E0,9.697883148E0,9.920810386E0
7.734760833E-1,-8.749305725E-1,1.998344421E0,9.675878906E0,9.918745714E0
7.834950833E-1,-9.313632202E-1,2.071691895E0,9.583670654E0,9.849166866E0
7.935150833E-1,-9.550140381E-1,2.219734039E0,9.571545868E0,9.871867165E0
8.035340833E-1,-9.839039612E-1,2.388133850E0,9.681567078E0,1.002017921E1
8.135530833E-1,-9.583071899E-1,2.520458679E0,9.710756378E0,1.007818704E1
8.235730833E-1,-8.590635681E-1,2.646197205E0,9.711055756E0,1.010173024E1
8.335920833E-1,-7.584727478E-1,2.789149933E0,9.789342957E0,1.020714817E1
8.436110833E-1,-6.069877625E-1,2.885399780E0,1.000085312E1,1.042645813E1
8.536310833E-1,-4.514611816E-1,2.955154724E0,1.009755203E1,1.053077935E1
8.636500833E-1,-2.628533936E-1,3.014431458E0,1.003019211E1,1.047667135E1
8.736690833E-1,-9.954299927E-2,3.032394104E0,9.850565643E0,1.030722884E1
8.836890833E-1,1.646575928E-2,3.081492004E0,9.775272217E0,1.024947857E1
8.937080833E-1,1.113684082E-1,3.170407104E0,9.750274200E0,1.025337657E1
9.037270833E-1,1.673519897E-1,3.247796173E0,9.710606689E0,1.024070647E1
9.137470833E-1,1.977388000E-1,3.303929443E0,9.487720184E0,1.004847674E1
9.237660833E-1,2.683918762E-1,3.335214386E0,9.322014771E0,9.904324741E0
9.337860833E-1,2.586621094E-1,3.378025360E0,9.245972900E0,9.847130358E0
9.438050833E-1,2.230361938E-1,3.421285400E0,9.254954224E0,9.869605697E0
9.538240833E-1,2.189945984E-1,3.434757385E0,9.255702667E0,9.874894875E0
9.638440833E-1,2.877017212E-1,3.456911316E0,9.213640137E0,9.845007501E0
9.738630833E-1,3.345542908E-1,3.425326996E0,9.139394531E0,9.765926684E0
9.838820833E-1,3.665876770E-1,3.337010651E0,9.046288147E0,9.649111661E0
9.939020833E-1,3.987707520E-1,3.291355591E0,8.993897095E0,9.585521618E0
1.003921083E0,3.838018799E-1,3.303031311E0,9.012009430E0,9.605916598E0
1.013940083E0,3.121009827E-1,3.299139404E0,9.107959900E0,9.692092724E0
1.023960083E0,1.989363098E-1,3.227139130E0,9.279353485E0,9.826515340E0
1.033979083E0,1.086740112E-1,3.155887299E0,9.305399323E0,9.826591028E0
1.043998083E0,8.232879639E-2,3.083887024E0,9.349856873E0,9.845656948E0
1.054018083E0,6.481521606E-2,3.018323364E0,9.501491547E0,9.969594704E0
1.064037083E0,5.763015747E-2,2.899320831E0,9.662107544E0,1.008789892E1
1.074056083E0,7.723937988E-2,2.770139465E0,9.813293152E0,1.019707610E1
1.084076083E0,1.384620667E-1,2.680326233E0,9.890382843E0,1.024807266E1
1.094095083E0,1.829196167E-1,2.611469421E0,1.001686981E1,1.035330445E1
1.104115083E0,1.874102783E-1,2.491269379E0,1.017853363E1,1.048065325E1
1.114134083E0,2.212399292E-1,2.287692719E0,1.031235535E1,1.056537543E1
1.124153083E0,3.189866638E-1,2.099084930E0,1.035711227E1,1.057249662E1
1.134173083E0,4.213737488E-1,1.999990997E0,1.028960266E1,1.049063596E1
1.144192083E0,4.920268250E-1,1.987716522E0,1.020622604E1,1.040961851E1
1.154211083E0,4.424798584E-1,1.990560608E0,1.000878662E1,1.021439815E1
1.164231083E0,3.297642517E-1,1.994302826E0,9.759554901E0,9.966689525E0
1.174250083E0,2.387535095E-1,2.087409210E0,9.610764313E0,9.837737094E0
1.184269083E0,1.630110168E-1,2.243235168E0,9.463470612E0,9.727073179E0
1.194289083E0,1.317260742E-2,2.412682800E0,9.256002045E0,9.565290673E0
1.204308083E0,-1.899549866E-1,2.594853973E0,9.147627411E0,9.510438333E0
1.214327083E0,-4.150868225E-1,2.799179077E0,9.145980835E0,9.573748796E0
1.224347083E0,-6.900650024E-1,2.991080017E0,9.128916321E0,9.631192168E0
1.234366083E0,-9.425898743E-1,3.193309479E0,9.194629669E0,9.778901567E0
1.244385083E0,-1.113235016E0,3.381917267E0,9.352700958E0,1.000748079E1
1.254405083E0,-1.187031555E0,3.455863495E0,9.526788940E0,1.020351625E1
1.264424083E0,-1.174158325E0,3.358565826E0,9.837393036E0,1.046101878E1
1.274443083E0,-1.090332642E0,3.061284027E0,1.034408936E1,1.084253060E1
1.284463083E0,-9.792636108E-1,2.567011871E0,1.087877747E1,1.122035233E1
1.294482083E0,-7.378157043E-1,2.051334229E0,1.121138580E1,1.142136225E1
1.304501458E0,-4.662803650E-1,1.609004059E0,1.136900803E1,1.149176466E1
1.314520458E0,-3.162922668E-1,1.283730469E0,1.118339401E1,1.126127463E1
1.324539458E0,-3.131488037E-1,1.137783966E0,1.075543396E1,1.081998032E1
1.334559458E0,-3.327580261E-1,1.161883850E0,1.021386017E1,1.028511748E1
1.344578458E0,-3.020718384E-1,1.275647278E0,9.715845795E0,9.803886111E0
1.354597458E0,-2.633024597E-1,1.464404755E0,9.209897919E0,9.329310218E0
1.364617458E0,-3.059637451E-1,1.714384918E0,9.014853516E0,9.181520210E0
1.374636458E0,-4.504133606E-1,2.056573334E0,8.821306000E0,9.069057592E0
1.384655458E0,-7.114704895E-1,2.364183655E0,8.697214050E0,9.040856533E0
1.394675458E0,-1.156944122E0,2.673141174E0,8.693920898E0,9.168885648E0
1.404694458E0,-1.709894257E0,2.931803284E0,8.741372223E0,9.377142273E0
1.414713458E0,-2.095043335E0,3.194207611E0,8.861721954E0,9.649988852E0
1.424733458E0,-2.215093689E0,3.325185242E0,8.845256195E0,9.705774266E0
1.434752458E0,-2.119592285E0,3.253184967E0,8.765023041E0,9.586527671E0
1.444772458E0,-1.917961578E0,3.039728851E0,8.773405609E0,9.481095616E0
1.454791458E0,-1.735191650E0,2.787203979E0,8.765621796E0,9.360316317E0
1.464810458E0,-1.546434174E0,2.501148834E0,9.016649780E0,9.484048577E0
1.474830458E0,-1.373693390E0,2.208956451E0,9.030121765E0,9.397319896E0
1.484849458E0,-1.224753113E0,1.916913757E0,8.598419495E0,8.894233882E0
1.494868458E0,-1.086740112E0,1.814077606E0,8.056246948E0,8.329165416E0
1.504888458E0,-9.735754395E-1,1.756746826E0,7.277566223E0,7.549634341E0
1.514907458E0,-8.613088989E-1,2.063309326E0,7.407945099E0,7.738006784E0
1.524926458E0,-9.217831421E-1,2.322420502E0,7.538773041E0,7.942066489E0
1.534946458E0,-1.154100037E0,2.476899261E0,7.880362701E0,8.340689009E0
1.544965458E0,-1.252146149E0,2.625989227E0,8.390202484E0,8.880269541E0
1.554984458E0,-1.300046539E0,2.678380280E0,8.883726196E0,9.369334718E0
1.565004458E0,-1.645977173E0,2.667303314E0,9.361233215E0,9.872002590E0
1.575023458E0,-2.124681702E0,2.748733978E0,9.594597931E0,1.020422071E1
