"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.414237917E-1,-1.478475494E0,3.745211792E-1,9.283993835E0,9.408437566E0
6.514427917E-1,-1.591041412E0,5.222639465E-1,9.238189087E0,9.388733142E0
6.614607917E-1,-1.667532349E0,6.694079590E-1,9.166488190E0,9.340946252E0
6.714787917E-1,-1.727557526E0,7.812254333E-1,9.122479706E0,9.317424760E0
6.814967917E-1,-1.882185974E0,9.819580078E-1,9.186396790E0,9.428507387E0
6.915157917E-1,-1.954335938E0,1.144220581E0,9.323062592E0,9.594173533E0
7.015337917E-1,-1.974244537E0,1.224902802E0,9.373058624E0,9.656720786E0
7.115517917E-1,-2.046244812E0,1.237476654E0,9.400002594E0,9.699407975E0
7.215697917E-1,-2.027982788E0,1.106049957E0,9.387728119E0,9.667755682E0
7.315887917E-1,-1.917512512E0,9.134005737E-1,9.369017029E0,9.606749447E0
7.416067917E-1,-1.767674103E0,7.361691284E-1,9.332492981E0,9.526911460E0
7.516247917E-1,-1.663640442E0,5.333409119E-1,9.281748505E0,9.444734372E0
7.616437917E-1,-1.604663086E0,3.077600098E-1,9.450597382E0,9.590800317E0
7.716617917E-1,-1.578916626E0,1.282832336E-1,9.593699799E0,9.723605819E0
7.816797917E-1,-1.516795807E0,5.313949585E-2,9.570048981E0,9.689650707E0
7.916987917E-1,-1.370400238E0,-3.472778320E-2,9.421557770E0,9.520764341E0
8.017167917E-1,-1.111139374E0,-3.022215271E-1,9.315578156E0,9.386477770E0
8.117347917E-1,-6.632707214E-1,-7.776329041E-1,9.370064850E0,9.425643547E0
8.217527917E-1,-2.456391907E-1,-1.373543701E0,9.529932404E0,9.631540506E0
8.317717917E-1,-8.307723999E-2,-1.845961304E0,9.675130463E0,9.850006316E0
8.417897917E-1,-2.116598511E-1,-2.037413177E0,9.600286102E0,9.816381492E0
8.518077917E-1,-5.646258545E-1,-1.871258698E0,9.090596008E0,9.298351857E0
8.618257917E-1,-1.049766998E0,-1.554966431E0,8.526119843E0,8.730100281E0
8.718447917E-1,-1.626367950E0,-9.627978516E-1,7.878416748E0,8.101944388E0
8.818627917E-1,-1.924996948E0,-5.688171387E-2,7.812254333E0,8.046127426E0
8.918807917E-1,-1.917063446E0,9.436376953E-1,9.006920013E0,9.256899723E0
9.018997917E-1,-2.024539948E0,1.716031494E0,9.566755829E0,9.928058379E0
9.119177917E-1,-2.157313843E0,1.883682861E0,9.428892517E0,9.854251785E0
9.219357917E-1,-2.350112915E0,1.521585846E0,9.192683716E0,9.609562326E0
9.319537917E-1,-2.416874084E0,1.091979218E0,8.935518494E0,9.320793405E0
9.419727917E-1,-2.224374390E0,7.435038757E-1,8.746761017E0,9.055742251E0
9.519907917E-1,-1.935175781E0,5.237608337E-1,8.810229034E0,9.035450534E0
9.620087917E-1,-1.624272308E0,3.965254211E-1,9.111702118E0,9.263833355E0
9.720277917E-1,-1.325493622E0,2.549198914E-1,9.399104462E0,9.495529589E0
9.820457917E-1,-9.508227539E-1,1.643582153E-1,9.605225830E0,9.653571400E0
9.920637917E-1,-5.517526245E-1,6.077362061E-2,9.815987549E0,9.831670049E0
1.002081792E0,-3.143463135E-1,-1.555265808E-1,9.836345215E0,9.842595659E0
1.012100792E0,-3.972738647E-1,-5.376818848E-1,9.639205170E0,9.662360200E0
1.022118792E0,-7.349716187E-1,-1.056353302E0,9.475595398E0,9.562581959E0
1.032136792E0,-1.064286804E0,-1.399739227E0,9.344019012E0,9.508031742E0
1.042155792E0,-1.317410431E0,-1.489253082E0,9.247320099E0,9.458666608E0
1.052173792E0,-1.532812500E0,-1.528172150E0,9.291178894E0,9.539959618E0
1.062191792E0,-1.666634216E0,-1.438059540E0,9.469308472E0,9.721804760E0
1.072209792E0,-1.778002625E0,-1.231938171E0,9.541608124E0,9.783723758E0
1.082228792E0,-1.437311096E0,-7.834707642E-1,9.563762054E0,9.702846709E0
1.092246792E0,-9.437873840E-1,-6.077362061E-2,9.532177734E0,9.578979091E0
1.102264792E0,-9.707313538E-1,3.291654968E-1,9.373058624E0,9.428939350E0
1.112283792E0,-1.013692017E0,2.350112915E-1,8.932824097E0,8.993227905E0
1.122301792E0,-1.038091278E0,-4.460723877E-2,8.300538940E0,8.365319480E0
1.132319792E0,-8.363108826E-1,-3.444337463E-1,7.964038696E0,8.015233175E0
1.142337792E0,-6.376739502E-1,-7.506889343E-1,8.201594696E0,8.260527677E0
1.152356792E0,-6.948550415E-1,-1.384620667E0,8.719667358E0,8.856217972E0
1.162374792E0,-7.656578064E-1,-1.840422821E0,9.109157410E0,9.324705719E0
1.172392792E0,-6.562353516E-1,-2.065255280E0,9.303453369E0,9.552495423E0
1.182411792E0,-4.357438660E-1,-2.150278473E0,9.389823761E0,9.642736152E0
1.192429792E0,-2.194436646E-1,-1.972298584E0,9.233997803E0,9.444831002E0
1.202447792E0,-1.550775146E-1,-1.686093750E0,8.918903046E0,9.078204267E0
1.212465792E0,-3.089575195E-1,-1.344204712E0,8.687633972E0,8.796438205E0
1.222484792E0,-5.920188904E-1,-1.075363770E0,8.574020233E0,8.661450027E0
1.232502792E0,-1.048569489E0,-6.462062073E-1,8.613837433E0,8.701452508E0
1.242520792E0,-1.431922302E0,-1.457968140E-1,9.021589508E0,9.135684728E0
1.252539792E0,-1.671573944E0,3.583547974E-1,9.648785248E0,9.799062933E0
1.262557792E0,-1.928290100E0,6.929090881E-1,1.005848328E1,1.026506267E1
1.272575792E0,-1.697619781E0,8.431965637E-1,9.893077240E0,1.007302689E1
1.282594792E0,-1.161434784E0,1.033750305E0,9.374106445E0,9.502180913E0
1.292612792E0,-9.255253601E-1,1.170266418E0,8.956025848E0,9.079455913E0
1.302630792E0,-8.967851257E-1,1.189276886E0,8.784781952E0,8.910162570E0
1.312648792E0,-9.295669556E-1,9.689350891E-1,8.970695343E0,9.070628692E0
1.322667792E0,-1.085392914E0,5.376818848E-1,9.773176575E0,9.847952069E0
1.332685167E0,-9.987231445E-1,1.779798889E-1,1.061712158E1,1.066547680E1
1.342703167E0,-5.035528564E-1,-6.975494385E-2,1.083102676E1,1.084295034E1
1.352722167E0,2.200424194E-2,-2.764750671E-1,1.059242294E1,1.059605334E1
1.362740167E0,4.132905579E-1,-4.622387695E-1,1.029544052E1,1.031409566E1
1.372758167E0,5.367837524E-1,-6.824308777E-1,1.023481659E1,1.027157823E1
1.382776167E0,4.707710266E-1,-8.343649292E-1,1.030996033E1,1.035437454E1
1.392795167E0,3.710783386E-1,-9.298663330E-1,1.032358200E1,1.037201503E1
1.402813167E0,3.757186890E-1,-1.065035248E0,9.963880005E0,1.002768016E1
1.412831167E0,4.556524658E-1,-1.216370544E0,9.392069092E0,9.481462877E0
1.422850167E0,4.900808716E-1,-1.165177002E0,8.849148102E0,8.938973030E0
1.432868167E0,3.638932800E-1,-1.026864624E0,8.316106567E0,8.387162674E0
1.442886167E0,1.107696533E-1,-1.035845947E0,8.030201111E0,8.097491996E0
1.452904167E0,-2.085163879E-1,-1.109642487E0,8.361911316E0,8.437792744E0
1.462923167E0,-5.523513794E-1,-1.068927155E0,9.296567688E0,9.374106255E0
1.472941167E0,-7.186555481E-1,-9.273216248E-1,1.032433044E1,1.039077429E1
1.482959167E0,-7.165599060E-1,-5.429209900E-1,1.093341385E1,1.097031265E1
1.492978167E0,-7.738906860E-1,-1.568737793E-1,1.151480484E1,1.154184763E1
1.502996167E0,-5.854325867E-1,-2.320175171E-2,1.188678131E1,1.190121169E1
1.513014167E0,-3.894900513E-1,6.735992432E-3,1.178589111E1,1.179232705E1
1.523032167E0,-2.404000854E-1,-5.403762817E-2,1.182960022E1,1.183216606E1
1.533051167E0,-5.373825073E-2,-3.239263916E-1,1.195503937E1,1.195954775E1
1.543069167E0,9.984237671E-2,-7.357200623E-1,1.197749268E1,1.200048263E1
1.553087167E0,1.645079041E-1,-1.154399414E0,1.175176208E1,1.180947132E1
1.563106167E0,2.204914856E-1,-1.446292419E0,1.149833908E1,1.159103877E1
1.573124167E0,2.830613708E-1,-1.585353241E0,1.126721970E1,1.138172695E1
1.583142167E0,4.755610657E-1,-1.523382111E0,1.098176331E1,1.109711569E1
1.593160167E0,5.869294739E-1,-1.420845337E0,1.089075256E1,1.099871716E1
1.603179167E0,5.574407959E-1,-1.491648102E0,1.111887817E1,1.123232862E1
1.613197167E0,5.126838684E-1,-1.652264099E0,1.138921600E1,1.151985515E1
1.623215167E0,6.307882690E-1,-1.853745117E0,1.130673752E1,1.147504153E1
1.633234167E0,8.717871094E-1,-2.192640381E0,1.095886093E1,1.121000970E1
1.643252167E0,1.010249176E0,-2.553839264E0,1.082099762E1,1.116408025E1
1.653270167E0,9.767189026E-1,-2.690056000E0,1.112202164E1,1.148432612E1
1.663288167E0,9.283694458E-1,-2.519111481E0,1.182855240E1,1.212940412E1
1.673307167E0,9.473799133E-1,-2.111958160E0,1.250724106E1,1.271962951E1
1.683325167E0,9.735754395E-1,-1.727108459E0,1.265034348E1,1.280476251E1
1.693343167E0,1.114133148E0,-1.557062073E0,1.209604614E1,1.224663494E1
1.703362167E0,1.248553619E0,-1.517843628E0,1.111992599E1,1.129227566E1
1.713380167E0,1.213077393E0,-1.615590363E0,1.003258713E1,1.023398717E1
1.723398167E0,9.747729492E-1,-1.743873596E0,9.132957916E0,9.348914254E0
1.733416167E0,7.048841858E-1,-1.733096008E0,8.532107391E0,8.734834860E0
1.743435167E0,6.358776855E-1,-1.676813049E0,8.341553650E0,8.532148600E0
1.753453167E0,5.635780334E-1,-1.678309937E0,8.371042328E0,8.556207927E0
1.763471167E0,3.861968994E-1,-1.739382935E0,8.612639923E0,8.795008100E0
1.773490167E0,1.477427673E-1,-1.732646942E0,9.030121765E0,9.196031342E0
1.783508167E0,3.038681030E-2,-1.570683746E0,9.334738312E0,9.466008142E0
1.793526167E0,-3.218307495E-2,-1.401086426E0,9.463620300E0,9.566827484E0
1.803545167E0,-1.986369324E-1,-1.237177277E0,9.409133606E0,9.492199927E0
1.813563167E0,-4.625381470E-1,-1.094374237E0,9.349707184E0,9.424893683E0
1.823581167E0,-7.991880798E-1,-9.618997192E-1,9.488019562E0,9.570081915E0
1.833599167E0,-1.044527893E0,-8.024812317E-1,9.657317505E0,9.746732583E0
1.843618167E0,-8.928932190E-1,-6.661148071E-1,9.759255524E0,9.822628753E0
1.853636167E0,-6.472540283E-1,-4.766088867E-1,9.705068207E0,9.738297731E0
1.863654167E0,-4.517605591E-1,-3.212319946E-1,9.637408905E0,9.653337661E0
1.873673167E0,-4.219725037E-1,-3.077600098E-1,9.852661285E0,9.866494384E0
1.883691167E0,-6.207591248E-1,-9.460327148E-2,1.055874298E1,1.057739784E1
1.893709167E0,-8.646020508E-1,6.406677246E-2,1.123443787E1,1.126784076E1
1.903727167E0,-8.196954346E-1,2.095642090E-3,1.115869537E1,1.118876166E1
1.913746167E0,-6.988966370E-1,-8.128097534E-2,1.063792831E1,1.066117170E1
1.923764167E0,-6.670129395E-1,-3.185375977E-1,9.897567902E0,9.925130872E0
1.933782167E0,-4.144880676E-1,-6.065386963E-1,9.297914886E0,9.326891807E0
1.943801167E0,-5.987548828E-3,-9.090596008E-1,8.847052460E0,8.893636064E0
1.953819167E0,4.165837097E-1,-1.334175568E0,8.768615570E0,8.879312217E0
1.963837167E0,3.890409851E-1,-1.716031494E0,9.427395630E0,9.590198399E0
1.973855167E0,-1.311273193E-1,-2.113455048E0,1.061562469E1,1.082475747E1
1.983874167E0,-5.911207581E-1,-2.161505127E0,1.144864243E1,1.166588795E1
1.993892167E0,-5.370831299E-1,-1.890418854E0,1.163051422E1,1.179538057E1
2.003910167E0,-1.636097717E-1,-1.423240356E0,1.139774826E1,1.148742994E1
2.013929167E0,1.691482544E-1,-1.032702484E0,1.063014450E1,1.068152881E1
2.023947167E0,4.972659302E-1,-1.058149567E0,9.785900116E0,9.855495675E0
2.033965167E0,4.962181091E-1,-1.618434448E0,9.077573090E0,9.234061710E0
2.043983167E0,-4.821473694E-1,-1.970352631E0,8.889564056E0,9.118064745E0
2.054002167E0,-1.741927643E0,-1.061143341E0,9.143286438E0,9.368032023E0
2.064020167E0,-2.683469696E0,-3.920347595E-1,9.795779572E0,1.016425099E1
2.074038167E0,-1.838626556E0,-6.122268677E-2,1.012419662E1,1.028997829E1
2.084057167E0,-1.202449493E0,-2.124082947E-1,9.244476013E0,9.324770176E0
2.094075167E0,-1.203946381E0,-6.432124329E-1,8.164471893E0,8.277790189E0
2.104093167E0,-1.154399414E0,-4.108955383E-1,7.586074677E0,7.684399921E0
2.114112167E0,-1.316362610E0,7.771838379E-1,7.539222107E0,7.692639028E0
2.124130167E0,-1.642534332E0,1.816322937E0,7.953261108E0,8.321737217E0
2.134148167E0,-1.527573395E0,1.961520996E0,8.899892578E0,9.240624059E0
2.144166167E0,-1.073567505E0,1.780846710E0,9.924511871E0,1.014001470E1
2.154185167E0,-6.194119263E-1,1.549727325E0,1.075363770E1,1.088237334E1
2.164203167E0,-3.649411011E-1,1.194066925E0,1.131601822E1,1.138469350E1
2.174221167E0,-1.419049072E-1,7.485932922E-1,1.120899078E1,1.123485662E1
2.184240167E0,-1.243913269E-1,3.005749512E-1,1.075079361E1,1.075571391E1
2.194258167E0,-3.034190369E-1,6.571334839E-2,1.028511200E1,1.028979641E1
2.204276167E0,-4.969665527E-1,2.395019531E-3,9.894873505E0,9.907345919E0
2.214294167E0,-5.167254639E-1,4.790039062E-3,9.590556335E0,9.604467657E0
2.224313167E0,-3.965254211E-1,5.418731689E-2,9.295519867E0,9.304131248E0
2.234331167E0,-4.658312988E-1,6.451583862E-2,9.009614410E0,9.021879678E0
2.244349167E0,-6.830296326E-1,8.128097534E-2,8.875942383E0,8.902555210E0
2.254368167E0,-8.298742676E-1,1.291813660E-1,8.932075653E0,8.971474494E0
2.264386167E0,-5.837860107E-1,2.308200073E-1,9.091194763E0,9.112842927E0
2.274404167E0,-1.451980591E-1,2.824626160E-1,9.293573914E0,9.298999069E0
2.284423167E0,1.486408997E-1,2.053729248E-1,9.426796875E0,9.430205272E0
2.294441167E0,1.411564636E-1,-6.436614990E-2,9.512568512E0,9.513833499E0
2.304459167E0,1.091230774E-1,-4.161346436E-1,9.593101044E0,9.602742500E0
2.314477167E0,1.025367737E-1,-6.629713440E-1,9.641001434E0,9.664313398E0
2.324496167E0,-1.321751404E-1,-6.553372192E-1,9.456135864E0,9.479738531E0
2.334514917E0,-3.787124634E-1,-4.842430115E-1,9.312734070E0,9.333002211E0
2.344532917E0,-5.110372925E-1,-3.394940186E-1,9.408983917E0,9.428965673E0
2.354551917E0,-6.703060913E-1,-2.793191528E-1,9.752818909E0,9.779816262E0
2.364569917E0,-8.735833740E-1,-3.180885315E-1,1.013287857E1,1.017543888E1
2.374587917E0,-9.949809265E-1,-5.346881104E-1,1.033989807E1,1.040141195E1
2.384605917E0,-9.416917419E-1,-8.291258240E-1,1.032403107E1,1.039999281E1
2.394624917E0,-7.120692444E-1,-1.133143616E0,1.014305740E1,1.023096626E1
2.404642917E0,-4.754113770E-1,-1.455124054E0,9.990075531E0,1.010668151E1
2.414660917E0,-2.954855347E-1,-1.785936127E0,1.002854553E1,1.019061358E1
2.424679917E0,-1.688488770E-1,-2.083517303E0,1.010428802E1,1.031824553E1
2.434697917E0,-2.029779053E-1,-2.122136993E0,1.005084915E1,1.027444568E1
2.444715917E0,-3.094065857E-1,-1.843416595E0,9.825717316E0,1.000193171E1
2.454734917E0,-2.121089172E-1,-1.439855804E0,9.397457886E0,9.509489452E0
2.464752917E0,-8.397537231E-2,-1.165326691E0,9.193432159E0,9.267374657E0
2.474770917E0,-1.676513672E-2,-1.132245483E0,9.413175201E0,9.481040464E0
2.484788917E0,-6.256988525E-2,-1.340462494E0,9.589807892E0,9.683241714E0
2.494807917E0,-1.666035461E-1,-1.582658844E0,9.901310120E0,1.002838511E1
2.504825917E0,-1.176553345E-1,-1.760489044E0,1.019679565E1,1.034832383E1
2.514843917E0,-6.990463257E-2,-1.919009399E0,1.002480331E1,1.020706448E1
2.524862917E0,5.209167480E-2,-2.145039368E0,9.790989532E0,1.002334193E1
2.534880917E0,3.249742126E-1,-2.237696686E0,9.742939453E0,1.000188802E1
2.544898917E0,3.914360046E-1,-2.049088898E0,9.580377502E0,9.804877386E0
2.554917917E0,3.845503235E-1,-1.715582428E0,9.470505981E0,9.632319843E0
2.564935917E0,2.507286072E-1,-1.397344208E0,9.290879517E0,9.398716820E0
2.574953917E0,-1.616638184E-2,-1.193019104E0,9.150770874E0,9.228226456E0
2.584971917E0,-1.416055298E-1,-1.189426575E0,9.189989319E0,9.267723096E0
2.594990917E0,-1.273851013E-1,-1.397942963E0,9.340426483E0,9.445318331E0
2.605008917E0,3.742218018E-2,-1.643282776E0,9.496851196E0,9.638047590E0
2.615026917E0,2.210902405E-1,-1.875150604E0,9.655072174E0,9.837961647E0
