"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.198499999E-3,1.109792175E0,1.126108246E0,9.376950531E0,9.509309108E0
1.221650000E-2,1.188977509E0,1.060843964E0,8.904233551E0,9.045685854E0
2.223450000E-2,1.148262177E0,1.011895752E0,8.647218018E0,8.781618215E0
3.225250000E-2,1.099613342E0,1.034947815E0,8.729247437E0,8.858895376E0
4.227050000E-2,1.050814819E0,1.143322449E0,8.905880127E0,9.040248826E0
5.228850000E-2,1.082249451E0,1.327140198E0,9.002878418E0,9.164299471E0
6.230650000E-2,1.016236725E0,1.466650085E0,9.199419708E0,9.370865623E0
7.232450000E-2,8.310717773E-1,1.473086700E0,9.685159607E0,9.831733384E0
8.234250000E-2,5.420228577E-1,1.377585297E0,1.010653336E1,1.021437940E1
9.236050000E-2,2.586621094E-1,1.283431091E0,1.030517029E1,1.038800443E1
1.023785000E-1,1.734892273E-1,1.246008911E0,1.046563660E1,1.054097652E1
1.123965000E-1,2.185455322E-1,1.254990234E0,1.050096313E1,1.057794826E1
1.224145000E-1,2.911445618E-1,1.297352142E0,1.048764084E1,1.057158919E1
1.324325000E-1,2.832110596E-1,1.331181793E0,1.035172348E1,1.044080612E1
1.424495000E-1,2.761756897E-1,1.332828369E0,1.016431320E1,1.025504595E1
1.524675000E-1,2.619552612E-1,1.303938446E0,9.930649109E0,1.001931473E1
1.624855000E-1,2.571652222E-1,1.316661987E0,9.692344666E0,9.784747204E0
1.725035000E-1,2.782713318E-1,1.338815918E0,9.533674622E0,9.631241602E0
1.825215000E-1,2.499801636E-1,1.325643311E0,9.416168976E0,9.512310889E0
1.925395000E-1,1.986369324E-1,1.246158600E0,9.265582123E0,9.351116509E0
2.025575000E-1,1.372645569E-1,1.083297272E0,9.271869049E0,9.335948275E0
2.125755000E-1,8.083190918E-2,9.364526367E-1,9.535620575E0,9.581833702E0
2.225935000E-1,1.796264648E-3,9.357041931E-1,9.929900665E0,9.973889552E0
2.326115000E-1,-7.664062500E-2,9.039701843E-1,1.025577301E1,1.029582031E1
2.426295000E-1,-1.576222229E-1,8.222401428E-1,1.036100418E1,1.039477423E1
2.526475000E-1,-1.514849854E-1,8.735833740E-1,1.026400589E1,1.030222852E1
2.626655000E-1,-2.005828857E-2,1.015637970E0,9.998907166E0,1.005037648E1
2.726835000E-1,1.190025330E-1,1.075962524E0,9.694889374E0,9.755139001E0
2.827015000E-1,1.543290710E-1,9.681866455E-1,9.631421356E0,9.681192085E0
2.927195000E-1,9.984237671E-2,8.750802612E-1,9.746681671E0,9.786395535E0
3.027375000E-1,3.068618774E-2,8.511300659E-1,9.822873230E0,9.859726290E0
3.127555000E-1,2.874023438E-2,8.412506104E-1,9.835447083E0,9.871400504E0
3.227735000E-1,2.215393066E-2,8.231382751E-1,9.721084900E0,9.755897655E0
3.327915000E-1,2.903961182E-2,8.201445007E-1,9.545050964E0,9.580265039E0
3.428095000E-1,5.837860107E-3,8.150550842E-1,9.377549286E0,9.412904944E0
3.528275000E-1,-2.963836670E-2,8.011340332E-1,9.249565430E0,9.284242285E0
3.628455000E-1,-9.954299927E-2,7.920030212E-1,9.305099945E0,9.339275271E0
3.728635000E-1,-2.185455322E-1,8.213420105E-1,9.424551544E0,9.462797507E0
3.828815000E-1,-3.420387268E-1,7.815248108E-1,9.498797150E0,9.537028825E0
3.928995000E-1,-4.525090027E-1,6.973997498E-1,9.694140930E0,9.729722462E0
4.029175000E-1,-5.285508728E-1,8.168513489E-1,9.831255798E0,9.879281488E0
4.129355000E-1,-4.692741394E-1,1.011746063E0,9.723030853E0,9.786785851E0
4.229535000E-1,-3.070115662E-1,1.079555054E0,9.550290070E0,9.616014540E0
4.329715000E-1,-2.080673218E-1,1.099613342E0,9.361682281E0,9.428336897E0
4.429895000E-1,-4.266128540E-2,1.190923462E0,9.199270020E0,9.276135379E0
4.530075000E-1,1.939965820E-1,1.260678406E0,9.225764923E0,9.313521522E0
4.630255000E-1,4.189787292E-1,1.293011169E0,9.472601624E0,9.569618727E0
4.730435000E-1,5.456153870E-1,1.279838562E0,9.730664978E0,9.829624805E0
4.830615000E-1,5.218148804E-1,1.243314514E0,9.994865570E0,1.008540825E1
4.930795000E-1,4.637356567E-1,1.237476654E0,1.028122009E1,1.036580367E1
5.030975000E-1,3.884422302E-1,1.293160858E0,1.034229309E1,1.043006130E1
5.131155000E-1,3.659889221E-1,1.253493347E0,1.008048752E1,1.016471456E1
5.231335000E-1,3.749702454E-1,1.082399139E0,9.657317505E0,9.725017839E0
5.331515000E-1,4.809498596E-1,9.216334534E-1,9.239087219E0,9.297389614E0
5.431695000E-1,7.092251587E-1,7.550299072E-1,8.927135925E0,8.987036570E0
5.531875000E-1,1.216819611E0,6.756948853E-1,8.979676666E0,9.086903024E0
5.632055000E-1,1.869462433E0,7.077282715E-1,9.188791809E0,9.403704802E0
5.732235000E-1,2.153721313E0,7.758366394E-1,9.324709167E0,9.601595651E0
5.832415000E-1,1.879042511E0,8.746311951E-1,9.251810760E0,9.481127720E0
5.932595000E-1,1.103954315E0,7.144642639E-1,9.056167603E0,9.151139053E0
6.032775000E-1,3.058140564E-1,4.727169800E-1,8.956624603E0,8.974302639E0
