"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.929583332E-4,-1.777703247E0,2.600991211E0,9.808952179E0,1.030247189E1
1.021095833E-2,-1.593436432E0,2.234852600E0,8.964558105E0,9.375335078E0
2.022895833E-2,-1.319506073E0,2.135159912E0,8.357869720E0,8.726625372E0
3.024795833E-2,-1.094972992E0,2.200274506E0,8.305927734E0,8.661905638E0
4.026595833E-2,-1.063837738E0,2.343227234E0,8.643475800E0,9.018433262E0
5.028495833E-2,-1.219813385E0,2.469714203E0,9.185348969E0,9.589476973E0
6.030295833E-2,-1.489851837E0,2.680176544E0,9.350605316E0,9.840570338E0
7.032195833E-2,-1.965562592E0,3.104693756E0,8.956175537E0,9.680683854E0
8.033995833E-2,-2.312091980E0,3.119213562E0,8.690478058E0,9.518385968E0
9.035795833E-2,-2.376907196E0,2.716101837E0,8.760981445E0,9.475320200E0
1.003769583E-1,-2.278262329E0,2.482138367E0,8.847800903E0,9.467579994E0
1.103949583E-1,-2.124532013E0,2.411784668E0,8.916807404E0,9.478385719E0
1.204139583E-1,-2.000589752E0,2.456541595E0,8.929680634E0,9.475027820E0
1.304319583E-1,-1.963916016E0,2.500400391E0,8.916807404E0,9.466700719E0
1.404499583E-1,-1.960173798E0,2.477647705E0,8.936416626E0,9.478426113E0
1.504689583E-1,-1.918859711E0,2.451452179E0,9.010362854E0,9.533009973E0
1.604869583E-1,-1.875449982E0,2.396366730E0,9.173373871E0,9.664919778E0
1.705059583E-1,-1.813179474E0,2.301464081E0,9.310339050E0,9.760469761E0
1.805239583E-1,-1.730102234E0,2.244881744E0,9.531279602E0,9.943743693E0
1.905429583E-1,-1.548829193E0,2.154469757E0,9.472751312E0,9.837358854E0
2.005609583E-1,-1.445843353E0,1.975741425E0,9.362879791E0,9.677682324E0
2.105789583E-1,-1.382824402E0,1.733395386E0,9.361831970E0,9.620850312E0
2.205979583E-1,-1.384021912E0,1.515747986E0,9.431586914E0,9.652348954E0
2.306159583E-1,-1.422192535E0,1.446741486E0,9.683513031E0,9.893741312E0
2.406349583E-1,-1.342707825E0,1.568887482E0,9.944270782E0,1.015641638E1
2.506529583E-1,-1.321601715E0,1.750759277E0,1.005010071E1,1.028670566E1
2.606709583E-1,-1.350042572E0,1.935175781E0,1.010877869E1,1.038050706E1
2.706899583E-1,-1.346000977E0,2.046244812E0,1.018212616E1,1.047256079E1
2.807079583E-1,-1.286275177E0,2.112556915E0,1.010817993E1,1.040637795E1
